"Paramater","Value","Minf"
"z0",0.77511440495631,0.052354144712591505
"sigma",0.01,0.052354144712591505
"rho",0.8,0.052354144712591505
"lambda0",0.9474629258203745,0.052354144712591505
"eta",2.5,0.052354144712591505
"mu",5.26347133770891,0.052354144712591505
