"Paramater","Value","Minf"
"z0",0.9573874974174598,0.3713738095558582
"sigma",0.02376049264005116,0.3713738095558582
"lambda0",0.9090148634236118,0.3713738095558582
"eta",5.628756473043127,0.3713738095558582
"mu",3.8906895043507066,0.3713738095558582
"x_lower_bar",0.6827425005901246,0.3713738095558582
