true_year,avg_hrs_100Male,avg_hrs_90Male,avg_hrs_80Male,avg_hrs_70Male,avg_hrs_60Male,avg_hrs_50Male,avg_hrs_40Male,avg_hrs_30Male,avg_hrs_20Male,avg_hrs_10Male,avg_wage_100Male,avg_wage_90Male,avg_wage_80Male,avg_wage_70Male,avg_wage_60Male,avg_wage_50Male,avg_wage_40Male,avg_wage_30Male,avg_wage_20Male,avg_wage_10Male,avg_hrs_100Female,avg_hrs_90Female,avg_hrs_80Female,avg_hrs_70Female,avg_hrs_60Female,avg_hrs_50Female,avg_hrs_40Female,avg_hrs_30Female,avg_hrs_20Female,avg_hrs_10Female,avg_wage_100Female,avg_wage_90Female,avg_wage_80Female,avg_wage_70Female,avg_wage_60Female,avg_wage_50Female,avg_wage_40Female,avg_wage_30Female,avg_wage_20Female,avg_wage_10Female,avg_wage_90,avg_wage_80,avg_wage_70,avg_wage_60,avg_wage_50,avg_wage_40,avg_wage_30,avg_wage_20,avg_wage_10,avg_wage_100,avg_hrs_100,avg_hrs_90,avg_hrs_80,avg_hrs_70,avg_hrs_60,avg_hrs_50,avg_hrs_40,avg_hrs_30,avg_hrs_20,avg_hrs_10
1977,7.553656,7.638289,7.670805,7.688114,7.69662,7.710795,7.717317,7.739481,7.758159,7.753589,4.029903,3.410276,3.244515,3.107562,2.985292,2.853597,2.733038,2.566628,2.341861,1.904867,7.315976,7.49819,7.535187,7.533891,7.532217,7.516963,7.494452,7.441402,7.427482,7.397914,3.416046,2.95201,2.7699,2.629628,2.502534,2.385146,2.257184,2.113315,1.935273,1.60548,3.302009,3.09916,2.950917,2.81198,2.664313,2.514568,2.342495,2.120863,1.737283,3.883934,7.532061,7.621427,7.648057,7.645517,7.647649,7.653478,7.644337,7.610831,7.570508,7.549684
1978,7.572874,7.639071,7.668965,7.691076,7.707639,7.727902,7.735697,7.73289,7.747243,7.755261,4.052712,3.43259,3.251927,3.120857,2.994042,2.867129,2.723613,2.557559,2.330176,1.907445,7.307427,7.509791,7.50878,7.521168,7.548391,7.523529,7.508152,7.467216,7.423715,7.422632,3.464012,2.960137,2.772274,2.63242,2.513143,2.376902,2.267411,2.123815,1.950174,1.656311,3.310598,3.118528,2.955008,2.796856,2.664062,2.510451,2.337988,2.123928,1.756995,3.908566,7.535947,7.621924,7.660471,7.663695,7.655265,7.648507,7.644401,7.621132,7.569749,7.558033
1979,7.557215,7.630386,7.66254,7.674389,7.699147,7.713335,7.722529,7.723827,7.729961,7.756537,4.051237,3.434068,3.24661,3.116782,2.99304,2.860683,2.716972,2.54805,2.330404,1.896969,7.301133,7.505666,7.53143,7.527064,7.546902,7.528322,7.496336,7.482032,7.451319,7.401577,3.467029,2.945231,2.767372,2.628092,2.484655,2.386424,2.252456,2.116015,1.948668,1.63632,3.30261,3.099554,2.954118,2.79694,2.649526,2.490385,2.324596,2.112532,1.746339,3.904279,7.524979,7.617148,7.634276,7.64959,7.657945,7.644258,7.630049,7.603123,7.582019,7.552819
1980,7.587384,7.634286,7.658452,7.675732,7.684929,7.702635,7.711915,7.705254,7.725557,7.732651,3.956239,3.382272,3.197681,3.053527,2.949808,2.81157,2.667511,2.498015,2.283025,1.838929,7.321836,7.500561,7.537995,7.532174,7.537073,7.541506,7.5084,7.472651,7.430609,7.403389,3.419016,2.920215,2.731817,2.590255,2.46134,2.348407,2.226109,2.082732,1.903204,1.597623,3.24873,3.05889,2.902397,2.750313,2.602455,2.450035,2.281986,2.068257,1.695631,3.817195,7.545257,7.620005,7.63065,7.637496,7.648225,7.630956,7.623736,7.609103,7.56934,7.53316
1981,7.552619,7.636188,7.658089,7.671415,7.680656,7.690602,7.713996,7.714252,7.710899,7.736413,3.958538,3.374295,3.190383,3.065788,2.927999,2.793951,2.644245,2.468405,2.243908,1.807905,7.310102,7.505595,7.527339,7.553734,7.517251,7.528288,7.496677,7.480611,7.449425,7.3911,3.392697,2.919362,2.735994,2.596714,2.452695,2.34423,2.216154,2.064202,1.898445,1.568694,3.23688,3.049884,2.890383,2.737376,2.587894,2.430288,2.260978,2.048401,1.667905,3.805508,7.522752,7.617095,7.630566,7.632786,7.63109,7.635867,7.615101,7.593766,7.568415,7.541167
1982,7.551569,7.628364,7.658736,7.660927,7.686293,7.690678,7.690107,7.704188,7.694178,7.706019,4.012246,3.397679,3.186286,3.046286,2.898388,2.783544,2.623706,2.437065,2.214399,1.776446,7.326951,7.517647,7.549736,7.557414,7.530885,7.534104,7.506463,7.503531,7.427821,7.399323,3.467761,2.933596,2.764748,2.611772,2.473759,2.356162,2.210444,2.085484,1.891555,1.557967,3.247637,3.04412,2.877499,2.73024,2.58091,2.41163,2.243563,2.044056,1.658933,3.864513,7.513851,7.611222,7.625792,7.6347,7.643184,7.626988,7.617107,7.593037,7.572917,7.520319
1983,7.570509,7.637127,7.656715,7.670336,7.704523,7.707673,7.708139,7.701046,7.704328,7.70362,3.938321,3.385505,3.185956,3.040172,2.898406,2.762131,2.601508,2.436351,2.198517,1.737178,7.336637,7.50293,7.554076,7.565449,7.548816,7.546082,7.525686,7.49579,7.456112,7.396632,3.483964,2.975102,2.778796,2.639098,2.497515,2.357408,2.239384,2.08344,1.877449,1.528547,3.253074,3.049448,2.874796,2.744973,2.580571,2.422992,2.254827,2.023993,1.620518,3.828513,7.525187,7.610789,7.620497,7.647512,7.648829,7.64122,7.625622,7.604428,7.56802,7.544081
1984,7.583089,7.661455,7.670534,7.696231,7.720891,7.716568,7.729285,7.723882,7.713615,7.716555,3.960356,3.387073,3.193531,3.04737,2.910422,2.758997,2.602647,2.424896,2.168461,1.714142,7.367332,7.531559,7.560121,7.550407,7.555252,7.545766,7.524033,7.512024,7.477062,7.442148,3.49768,2.987634,2.789788,2.635352,2.494282,2.357725,2.216653,2.059647,1.867747,1.50521,3.257998,3.054953,2.888714,2.732842,2.575845,2.415626,2.229473,1.997989,1.612656,3.828095,7.546038,7.626721,7.651939,7.659736,7.657215,7.651634,7.628388,7.619664,7.58311,7.562564
1985,7.591215,7.671668,7.678778,7.705186,7.722364,7.719482,7.712345,7.713563,7.691244,7.71709,3.967794,3.393381,3.21124,3.050927,2.911162,2.766109,2.599066,2.413508,2.168918,1.713564,7.366078,7.548824,7.573233,7.572685,7.554473,7.549922,7.533708,7.50105,7.486547,7.423134,3.526333,3.003235,2.80287,2.672114,2.511008,2.379926,2.240057,2.077709,1.875641,1.49826,3.252788,3.062845,2.897175,2.743392,2.585923,2.433742,2.239877,2.016136,1.596164,3.838976,7.555113,7.636484,7.656391,7.665112,7.657598,7.645463,7.634827,7.613419,7.578961,7.563113
1986,7.613923,7.656615,7.690237,7.712,7.705166,7.723632,7.728345,7.737852,7.719268,7.721204,4.004807,3.41421,3.221658,3.065036,2.921584,2.777396,2.61509,2.422028,2.180301,1.738589,7.367165,7.548672,7.575143,7.575915,7.562809,7.554971,7.539144,7.523242,7.486434,7.426078,3.566857,3.03737,2.851371,2.686149,2.546759,2.398069,2.252121,2.086981,1.876867,1.476894,3.292203,3.079622,2.913728,2.758003,2.602498,2.437273,2.251987,2.018811,1.583489,3.830753,7.570077,7.633512,7.660643,7.658823,7.66029,7.659019,7.645329,7.62704,7.597895,7.55309
1987,7.617131,7.674963,7.710221,7.706695,7.725729,7.725446,7.726369,7.73285,7.727308,7.720983,3.983567,3.399396,3.204496,3.051401,2.910446,2.750298,2.608659,2.410746,2.153396,1.702129,7.401128,7.548341,7.583413,7.57467,7.569395,7.56236,7.547918,7.534963,7.490657,7.479244,3.556542,3.040527,2.844287,2.688854,2.549441,2.409866,2.247337,2.081866,1.885195,1.483575,3.27562,3.068042,2.904466,2.742237,2.608104,2.437868,2.246847,2.013857,1.580725,3.851255,7.574353,7.648778,7.660843,7.669415,7.664131,7.659115,7.644545,7.625049,7.604887,7.584039
1988,7.633206,7.682175,7.701727,7.709914,7.726619,7.742811,7.731669,7.738976,7.72564,7.745373,4.032907,3.420429,3.19077,3.043969,2.906172,2.755347,2.597502,2.404958,2.154011,1.682646,7.386765,7.572526,7.578798,7.58598,7.590113,7.564885,7.54302,7.517611,7.496908,7.467015,3.604127,3.051173,2.855323,2.692551,2.54753,2.407901,2.253075,2.082896,1.867013,1.47834,3.283034,3.070164,2.89521,2.749775,2.593879,2.426405,2.232018,2.005198,1.56504,3.895253,7.577061,7.642545,7.671735,7.673587,7.677286,7.665888,7.654181,7.632587,7.606919,7.586434
1989,7.638882,7.67468,7.698363,7.721707,7.725868,7.725904,7.723763,7.732834,7.734634,7.723086,4.044606,3.389085,3.207914,3.043145,2.886426,2.745372,2.574147,2.393073,2.142922,1.682314,7.401215,7.557191,7.575816,7.581868,7.584058,7.566011,7.561811,7.530207,7.49452,7.474248,3.601664,3.06756,2.856361,2.705263,2.556376,2.418623,2.263655,2.089886,1.863865,1.434106,3.284272,3.072551,2.893373,2.746737,2.586309,2.423347,2.234951,1.998579,1.549053,3.896276,7.579558,7.641601,7.665069,7.667685,7.66292,7.66568,7.648331,7.642978,7.600905,7.585456
1990,7.601552,7.662237,7.688377,7.703012,7.708045,7.722147,7.707757,7.724682,7.719142,7.739283,4.043076,3.39479,3.179135,3.018999,2.87945,2.714743,2.560355,2.363607,2.125435,1.666129,7.39772,7.553661,7.577036,7.581064,7.586123,7.577748,7.563649,7.53321,7.51362,7.463196,3.609294,3.05638,2.864172,2.704217,2.562195,2.417637,2.261648,2.098339,1.881849,1.481853,3.274977,3.054145,2.879921,2.733198,2.575127,2.404691,2.231658,1.98909,1.582361,3.88367,7.559516,7.626734,7.659953,7.655598,7.657665,7.650206,7.647703,7.638876,7.599194,7.595257
1991,7.600772,7.672836,7.694238,7.699123,7.722451,7.721826,7.736518,7.724032,7.701848,7.690759,3.971442,3.37424,3.162985,3.00387,2.855493,2.704247,2.544978,2.352161,2.099218,1.652001,7.453674,7.560822,7.572219,7.584097,7.586705,7.582106,7.557631,7.542422,7.518073,7.479054,3.571167,3.06865,2.850326,2.695758,2.54782,2.404629,2.25123,2.078075,1.882462,1.495442,3.253735,3.040445,2.867542,2.711731,2.561161,2.416326,2.209546,1.974469,1.568691,3.840537,7.565117,7.6415,7.655118,7.665191,7.665235,7.664893,7.651631,7.616696,7.595232,7.581905
1992,7.627662,7.672457,7.689005,7.713668,7.716956,7.716435,7.713404,7.730036,7.694054,7.70336,4.021278,3.378509,3.165802,3.004083,2.86596,2.700851,2.529602,2.344473,2.112875,1.654905,7.413001,7.555899,7.587055,7.585225,7.58394,7.597337,7.575135,7.539061,7.497443,7.483722,3.622484,3.079587,2.874014,2.713958,2.578693,2.426181,2.261692,2.10134,1.881771,1.495248,3.258717,3.047219,2.876225,2.726056,2.556653,2.404852,2.217724,1.985727,1.569032,3.883712,7.567162,7.634113,7.661025,7.660865,7.657146,7.65744,7.666224,7.638958,7.592299,7.577734
1993,7.642256,7.672168,7.697629,7.710017,7.723094,7.70694,7.740821,7.731086,7.715436,7.715247,4.084131,3.390781,3.161469,2.985633,2.837632,2.676981,2.507935,2.321167,2.090361,1.65934,7.40551,7.547343,7.556113,7.588029,7.593867,7.577677,7.549644,7.540805,7.509846,7.487092,3.662083,3.102211,2.890187,2.714697,2.563342,2.412527,2.264574,2.093727,1.8714,1.471444,3.252991,3.052877,2.871037,2.708689,2.551972,2.389897,2.205116,1.971774,1.553984,3.942979,7.573217,7.629728,7.654231,7.657503,7.66161,7.66279,7.655389,7.632742,7.613755,7.588763
