Series ID,Year,Period,Value
LNS11300002,1948,M01,"32,0"
LNS11300002,1948,M02,"32,4"
LNS11300002,1948,M03,"32,1"
LNS11300002,1948,M04,"33,0"
LNS11300002,1948,M05,"32,0"
LNS11300002,1948,M06,"33,4"
LNS11300002,1948,M07,"33,4"
LNS11300002,1948,M08,"32,7"
LNS11300002,1948,M09,"33,0"
LNS11300002,1948,M10,"32,4"
LNS11300002,1948,M11,"32,6"
LNS11300002,1948,M12,"33,0"
LNS11300002,1949,M01,"32,6"
LNS11300002,1949,M02,"33,0"
LNS11300002,1949,M03,"33,0"
LNS11300002,1949,M04,"32,8"
LNS11300002,1949,M05,"33,1"
LNS11300002,1949,M06,"32,8"
LNS11300002,1949,M07,"33,4"
LNS11300002,1949,M08,"33,5"
LNS11300002,1949,M09,"33,4"
LNS11300002,1949,M10,"33,6"
LNS11300002,1949,M11,"33,7"
LNS11300002,1949,M12,"33,5"
LNS11300002,1950,M01,"33,4"
LNS11300002,1950,M02,"33,4"
LNS11300002,1950,M03,"33,2"
LNS11300002,1950,M04,"33,9"
LNS11300002,1950,M05,"33,6"
LNS11300002,1950,M06,"34,2"
LNS11300002,1950,M07,"33,7"
LNS11300002,1950,M08,"34,1"
LNS11300002,1950,M09,"33,7"
LNS11300002,1950,M10,"34,3"
LNS11300002,1950,M11,"34,4"
LNS11300002,1950,M12,"34,0"
LNS11300002,1951,M01,"34,3"
LNS11300002,1951,M02,"34,2"
LNS11300002,1951,M03,"35,0"
LNS11300002,1951,M04,"34,4"
LNS11300002,1951,M05,"34,7"
LNS11300002,1951,M06,"34,2"
LNS11300002,1951,M07,"35,2"
LNS11300002,1951,M08,"34,7"
LNS11300002,1951,M09,"34,4"
LNS11300002,1951,M10,"34,8"
LNS11300002,1951,M11,"34,7"
LNS11300002,1951,M12,"35,1"
LNS11300002,1952,M01,"35,0"
LNS11300002,1952,M02,"34,9"
LNS11300002,1952,M03,"34,1"
LNS11300002,1952,M04,"34,3"
LNS11300002,1952,M05,"34,7"
LNS11300002,1952,M06,"34,6"
LNS11300002,1952,M07,"34,4"
LNS11300002,1952,M08,"34,4"
LNS11300002,1952,M09,"35,4"
LNS11300002,1952,M10,"34,6"
LNS11300002,1952,M11,"35,4"
LNS11300002,1952,M12,"34,8"
LNS11300002,1953,M01,"35,1"
LNS11300002,1953,M02,"34,9"
LNS11300002,1953,M03,"35,2"
LNS11300002,1953,M04,"34,6"
LNS11300002,1953,M05,"34,0"
LNS11300002,1953,M06,"34,7"
LNS11300002,1953,M07,"34,6"
LNS11300002,1953,M08,"34,2"
LNS11300002,1953,M09,"34,3"
LNS11300002,1953,M10,"34,4"
LNS11300002,1953,M11,"33,9"
LNS11300002,1953,M12,"33,6"
LNS11300002,1954,M01,"33,9"
LNS11300002,1954,M02,"35,0"
LNS11300002,1954,M03,"35,1"
LNS11300002,1954,M04,"35,0"
LNS11300002,1954,M05,"34,6"
LNS11300002,1954,M06,"34,4"
LNS11300002,1954,M07,"34,1"
LNS11300002,1954,M08,"34,3"
LNS11300002,1954,M09,"34,9"
LNS11300002,1954,M10,"34,8"
LNS11300002,1954,M11,"34,6"
LNS11300002,1954,M12,"34,1"
LNS11300002,1955,M01,"34,7"
LNS11300002,1955,M02,"34,5"
LNS11300002,1955,M03,"34,5"
LNS11300002,1955,M04,"35,3"
LNS11300002,1955,M05,"35,0"
LNS11300002,1955,M06,"35,2"
LNS11300002,1955,M07,"35,8"
LNS11300002,1955,M08,"36,4"
LNS11300002,1955,M09,"36,2"
LNS11300002,1955,M10,"36,4"
LNS11300002,1955,M11,"36,5"
LNS11300002,1955,M12,"37,0"
LNS11300002,1956,M01,"36,7"
LNS11300002,1956,M02,"36,3"
LNS11300002,1956,M03,"36,4"
LNS11300002,1956,M04,"36,6"
LNS11300002,1956,M05,"37,1"
LNS11300002,1956,M06,"37,0"
LNS11300002,1956,M07,"37,2"
LNS11300002,1956,M08,"37,0"
LNS11300002,1956,M09,"37,1"
LNS11300002,1956,M10,"36,9"
LNS11300002,1956,M11,"36,9"
LNS11300002,1956,M12,"36,9"
LNS11300002,1957,M01,"36,6"
LNS11300002,1957,M02,"37,1"
LNS11300002,1957,M03,"36,9"
LNS11300002,1957,M04,"36,5"
