Series ID,Year,Period,Value
LNS11300001,1948,M01,"86,7"
LNS11300001,1948,M02,"87,0"
LNS11300001,1948,M03,"86,3"
LNS11300001,1948,M04,"86,6"
LNS11300001,1948,M05,"86,1"
LNS11300001,1948,M06,"86,6"
LNS11300001,1948,M07,"86,7"
LNS11300001,1948,M08,"86,7"
LNS11300001,1948,M09,"86,3"
LNS11300001,1948,M10,"86,6"
LNS11300001,1948,M11,"86,5"
LNS11300001,1948,M12,"86,9"
LNS11300001,1949,M01,"86,5"
LNS11300001,1949,M02,"86,6"
LNS11300001,1949,M03,"86,5"
LNS11300001,1949,M04,"86,6"
LNS11300001,1949,M05,"86,6"
LNS11300001,1949,M06,"86,2"
LNS11300001,1949,M07,"86,1"
LNS11300001,1949,M08,"86,6"
LNS11300001,1949,M09,"86,6"
LNS11300001,1949,M10,"87,4"
LNS11300001,1949,M11,"86,8"
LNS11300001,1949,M12,"86,6"
LNS11300001,1950,M01,"86,2"
LNS11300001,1950,M02,"86,1"
LNS11300001,1950,M03,"85,9"
LNS11300001,1950,M04,"86,2"
LNS11300001,1950,M05,"86,3"
LNS11300001,1950,M06,"86,2"
LNS11300001,1950,M07,"86,1"
LNS11300001,1950,M08,"86,5"
LNS11300001,1950,M09,"86,5"
LNS11300001,1950,M10,"86,4"
LNS11300001,1950,M11,"86,3"
LNS11300001,1950,M12,"86,3"
LNS11300001,1951,M01,"86,0"
LNS11300001,1951,M02,"86,3"
LNS11300001,1951,M03,"86,9"
LNS11300001,1951,M04,"86,3"
LNS11300001,1951,M05,"86,6"
LNS11300001,1951,M06,"86,4"
LNS11300001,1951,M07,"86,3"
LNS11300001,1951,M08,"86,5"
LNS11300001,1951,M09,"86,4"
LNS11300001,1951,M10,"86,8"
LNS11300001,1951,M11,"86,5"
LNS11300001,1951,M12,"86,8"
LNS11300001,1952,M01,"86,8"
LNS11300001,1952,M02,"87,0"
LNS11300001,1952,M03,"86,5"
LNS11300001,1952,M04,"86,3"
LNS11300001,1952,M05,"86,4"
LNS11300001,1952,M06,"86,4"
LNS11300001,1952,M07,"86,3"
LNS11300001,1952,M08,"85,9"
LNS11300001,1952,M09,"85,9"
LNS11300001,1952,M10,"85,6"
LNS11300001,1952,M11,"85,6"
LNS11300001,1952,M12,"86,4"
LNS11300001,1953,M01,"86,5"
LNS11300001,1953,M02,"86,8"
LNS11300001,1953,M03,"86,8"
LNS11300001,1953,M04,"86,3"
LNS11300001,1953,M05,"85,8"
LNS11300001,1953,M06,"85,8"
LNS11300001,1953,M07,"85,9"
LNS11300001,1953,M08,"85,7"
LNS11300001,1953,M09,"85,4"
LNS11300001,1953,M10,"85,4"
LNS11300001,1953,M11,"85,9"
LNS11300001,1953,M12,"85,8"
LNS11300001,1954,M01,"85,8"
LNS11300001,1954,M02,"86,2"
LNS11300001,1954,M03,"85,6"
LNS11300001,1954,M04,"86,0"
LNS11300001,1954,M05,"85,7"
LNS11300001,1954,M06,"85,3"
LNS11300001,1954,M07,"85,4"
LNS11300001,1954,M08,"85,9"
LNS11300001,1954,M09,"86,0"
LNS11300001,1954,M10,"85,5"
LNS11300001,1954,M11,"85,2"
LNS11300001,1954,M12,"84,8"
LNS11300001,1955,M01,"85,0"
LNS11300001,1955,M02,"84,8"
LNS11300001,1955,M03,"85,0"
LNS11300001,1955,M04,"85,2"
LNS11300001,1955,M05,"85,1"
LNS11300001,1955,M06,"84,8"
LNS11300001,1955,M07,"85,3"
LNS11300001,1955,M08,"85,4"
LNS11300001,1955,M09,"85,6"
LNS11300001,1955,M10,"85,7"
LNS11300001,1955,M11,"85,8"
LNS11300001,1955,M12,"85,9"
LNS11300001,1956,M01,"86,1"
LNS11300001,1956,M02,"85,9"
LNS11300001,1956,M03,"85,8"
LNS11300001,1956,M04,"85,6"
LNS11300001,1956,M05,"85,8"
LNS11300001,1956,M06,"85,7"
LNS11300001,1956,M07,"85,5"
LNS11300001,1956,M08,"85,4"
LNS11300001,1956,M09,"85,2"
LNS11300001,1956,M10,"85,0"
LNS11300001,1956,M11,"85,2"
LNS11300001,1956,M12,"85,0"
LNS11300001,1957,M01,"84,8"
LNS11300001,1957,M02,"85,0"
LNS11300001,1957,M03,"85,2"
LNS11300001,1957,M04,"85,0"
LNS11300001,1957,M05,"84,9"
LNS11300001,1957,M06,"85,2"
LNS11300001,1957,M07,"85,1"
LNS11300001,1957,M08,"84,4"
LNS11300001,1957,M09,"84,6"
LNS11300001,1957,M10,"84,4"
LNS11300001,1957,M11,"84,4"
LNS11300001,1957,M12,"84,5"
LNS11300001,1958,M01,"84,1"
LNS11300001,1958,M02,"84,0"
LNS11300001,1958,M03,"84,0"
LNS11300001,1958,M04,"84,3"
LNS11300001,1958,M05,"84,6"
LNS11300001,1958,M06,"84,3"
LNS11300001,1958,M07,"84,6"
LNS11300001,1958,M08,"84,6"
LNS11300001,1958,M09,"84,7"
LNS11300001,1958,M10,"84,6"
LNS11300001,1958,M11,"84,0"
LNS11300001,1958,M12,"83,8"
LNS11300001,1959,M01,"83,8"
LNS11300001,1959,M02,"83,5"
LNS11300001,1959,M03,"83,8"
LNS11300001,1959,M04,"83,9"
LNS11300001,1959,M05,"83,6"
LNS11300001,1959,M06,"83,5"
LNS11300001,1959,M07,"83,9"
LNS11300001,1959,M08,"83,7"
LNS11300001,1959,M09,"83,9"
LNS11300001,1959,M10,"83,8"
LNS11300001,1959,M11,"83,5"
LNS11300001,1959,M12,"83,9"
LNS11300001,1960,M01,"83,6"
LNS11300001,1960,M02,"83,4"
LNS11300001,1960,M03,"82,8"
LNS11300001,1960,M04,"83,6"
LNS11300001,1960,M05,"83,4"
LNS11300001,1960,M06,"83,3"
LNS11300001,1960,M07,"83,2"
LNS11300001,1960,M08,"83,3"
LNS11300001,1960,M09,"83,5"
LNS11300001,1960,M10,"83,4"
LNS11300001,1960,M11,"83,7"
LNS11300001,1960,M12,"83,4"
LNS11300001,1961,M01,"83,4"
LNS11300001,1961,M02,"82,9"
LNS11300001,1961,M03,"83,1"
LNS11300001,1961,M04,"82,8"
LNS11300001,1961,M05,"83,0"
LNS11300001,1961,M06,"83,1"
LNS11300001,1961,M07,"82,8"
LNS11300001,1961,M08,"82,9"
LNS11300001,1961,M09,"82,6"
LNS11300001,1961,M10,"82,6"
LNS11300001,1961,M11,"82,7"
LNS11300001,1961,M12,"82,5"
LNS11300001,1962,M01,"82,2"
LNS11300001,1962,M02,"82,5"
LNS11300001,1962,M03,"82,5"
LNS11300001,1962,M04,"82,0"
LNS11300001,1962,M05,"82,4"
LNS11300001,1962,M06,"82,1"
LNS11300001,1962,M07,"81,7"
LNS11300001,1962,M08,"82,1"
LNS11300001,1962,M09,"82,0"
LNS11300001,1962,M10,"81,7"
LNS11300001,1962,M11,"81,6"
LNS11300001,1962,M12,"81,4"
LNS11300001,1963,M01,"81,4"
LNS11300001,1963,M02,"81,3"
LNS11300001,1963,M03,"81,4"
LNS11300001,1963,M04,"81,5"
LNS11300001,1963,M05,"81,4"
LNS11300001,1963,M06,"81,2"
LNS11300001,1963,M07,"81,5"
LNS11300001,1963,M08,"81,3"
LNS11300001,1963,M09,"81,4"
LNS11300001,1963,M10,"81,3"
LNS11300001,1963,M11,"81,4"
LNS11300001,1963,M12,"81,0"
LNS11300001,1964,M01,"81,0"
LNS11300001,1964,M02,"81,0"
LNS11300001,1964,M03,"81,0"
LNS11300001,1964,M04,"81,3"
LNS11300001,1964,M05,"81,4"
LNS11300001,1964,M06,"80,9"
LNS11300001,1964,M07,"81,1"
LNS11300001,1964,M08,"80,9"
LNS11300001,1964,M09,"81,1"
LNS11300001,1964,M10,"80,9"
LNS11300001,1964,M11,"80,8"
LNS11300001,1964,M12,"80,6"
LNS11300001,1965,M01,"80,7"
LNS11300001,1965,M02,"80,9"
LNS11300001,1965,M03,"80,7"
LNS11300001,1965,M04,"81,0"
LNS11300001,1965,M05,"81,2"
LNS11300001,1965,M06,"80,5"
LNS11300001,1965,M07,"80,9"
LNS11300001,1965,M08,"80,6"
LNS11300001,1965,M09,"80,3"
LNS11300001,1965,M10,"80,6"
LNS11300001,1965,M11,"80,3"
LNS11300001,1965,M12,"80,5"
LNS11300001,1966,M01,"80,5"
LNS11300001,1966,M02,"80,3"
LNS11300001,1966,M03,"80,4"
LNS11300001,1966,M04,"80,5"
LNS11300001,1966,M05,"80,3"
LNS11300001,1966,M06,"80,5"
LNS11300001,1966,M07,"80,5"
LNS11300001,1966,M08,"80,5"
LNS11300001,1966,M09,"80,2"
LNS11300001,1966,M10,"80,2"
LNS11300001,1966,M11,"80,4"
LNS11300001,1966,M12,"80,5"
